time	cusn	quan	pric	totr	tots	dayw	date	type	ethn	size	cash	estb	qual	loct	stor	phon
	1	120	0.65	8160	5060	1	427	w	s		0	s		1	1	1
300	1	180	0.85	3900	6050	5	417	w	s	m	0	s	2	1	1	1
315	1	200	1.25	6080	4780	4	507	w	s	m	0	s	3	1	1	1
335	1	60	0.5	7694	9050	4	430	w	s	m	0	s	2	1	1	1
350	1	60	0.65	1610	6260	1	504	w	s		0	s		1	1	1
400	1	65	0.65	1676	3300	2	428	w	s	m	0	s	1	1	1	1
400	1	60	0.85	6570	6470	4	423	w	s		0	s		1	1	1
413	1	180	1	3940	4118	3	422	w	s	s	0	s	1	1	1	1
415	1	60	1	360	490	3	415	w	s	m	0	s	4	1	1	1
430	1	120	0.75	10700	10494	2	421	w	s	s	0	s	3	1	1	1
500	1	50	1.25	2305	1450	3	506	w	s	m	0	s	3	1	1	1
500	1	130	0.65	6963	5785	3	429	w	s	m	0	s	3	1	1	1
520	1	100	1	1320	1290	2	505	w	s	lm	0	s	3	1	1	1
600	1	240	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	1
605	1	200	0.75	7049	5535	1	413	w	s	m	0	s	3	1	1	1
620	1	60	0.75	200	2260	2	414	w	s	m	0	s	3	1	1	1
400	1	100	0.85	2390	945	5	424	kw	s		0	s	1	1	1	1
	1	60	1.75	4020	3420	5	508	w	s	m	0	s	3	1	1	1
555	2	400	0.75	3900	6050	5	417	w	a	m	c	s	2	2	1	0
600	3	240	0.6	15940	15455	5	424	w	a	m	c	s	2	1	1	0
659	4	400	0.3	1610	6260	1	504	w	a	m	c	sf	5			0
700	4	300	1.25	6080	4780	4	507	w	a	m	c	sf	3			0
725	4	120	0.85	3940	4118	3	422	w	a	s	c	sf	1			0
804	4	240	0.5	15940	15455	5	424	w	a	m	c	sf	2			0
812	4	120	0.5	15940	15455	5	424	w	a	m	c	sf	2			0
615	5	60	0.75	11875	9655	4	416	w	s	m	c	s	1	1	1	0
655	5	100	0.5	6963	5785	3	429	w	s	lm	c	s	1	1	1	0
700	5	60	0.75	10700	10494	2	421	w	s	s	c	s	3	1	1	0
700	5	120	0.75	200	2260	2	414	w	s	m	c	s	3	1	1	0
714	5	100	0.25	11370	8520	5	501	w	s	m	c	s	4	1	1	0
400	6	300	0.3	7694	9050	4	430	w	a	l	c	s	5	1	1	0
400	6	240	0.7	7049	5535	1	413	w	a	m	c	s	3	1	1	0
430	7	60	1.25	6080	4780	4	507	w	s		0	s		1	1	0
430	7	120	0.85	3900	6050	5	417	w	s	m	0	s	2	1	1	0
435	7	65	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
437	7	60	0.85	15940	15455	5	424	w	s	m	0	s	1	1	1	0
445	7	50	1.25	2305	1450	3	506	w	s	m	0	s	3	1	1	0
455	7	60	1	3940	4118	3	422	w	s	s	0	s	1	1	1	0
535	7	60	0.75	7049	5535	1	413	w	s	m	0	s	3	1	1	0
415	7	120	0.9	2100	1825	5	501	kw	s		0	s	1	1	1	0
427	7	65	1.5	875	1050	4	507	kw	s		0	s	3	1	1	0
450	7	60	1	335	185	4	430	kw	s		0	s	1	1	1	0
455	7	60	1.25	990	1700	4	423	kw	s		0	s	1	1	1	0
502	7	65	1.1	335	260	2	428	kw	s		0	s	1	1	1	0
520	7	60	1	1182	480	3	429	kw	s		0	s	1	1	1	0
738	8	60	0.5	15940	15455	5	424	w	a	m	c	s	2	1	1	0
455	9	200	0.7	15940	15455	5	424	w	a	lm	c	s	3	1	1	0
535	9	200	0.35	11370	8520	5	501	w	a	m	c	s	4	1	1	0
400	10	180	0.65	1610	6260	1	504	w	s	m	0	s	3	1	1	0
420	10	240	0.9	1320	1290	2	505	w	s	m	0	s	3	1	1	0
455	10	180	0.65	8160	5060	1	427	w	s	m	0	s	2	1	1	0
615	11	120	0.75	7049	5535	1	413	w	s	m	0	s	3	1	1	0
620	11	60	0.65	8160	5060	1	427	w	s	m	0	s	2	1	1	0
701	11	50	1.25	6080	4780	4	507	w	s	m	0	s	3	1	1	0
701	11	50	1.25	6080	4780	4	507	w	s	m	0	s	3	1	1	0
720	11	100	1	3940	4118	3	422	w	s	l	0	s	3	1	1	0
